,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
449,17728,675,44,1114,12
450,23694,1062,144,1203,103
451,20097,445,73,543,61
452,20454,1120,130,1312,77
453,23865,962,172,812,209
454,17971,219,133,573,57
455,14401,144,149,307,106
456,18242,597,51,327,105
457,15431,465,72,275,122
458,20415,520,61,837,27
459,17061,280,111,289,107
460,19710,916,22,652,51
461,15590,427,86,237,134
462,23351,1131,125,1138,121
463,16016,640,44,840,25
464,21876,1293,82,1167,117
465,19810,405,85,133,162
466,22133,1179,112,1155,119
467,20808,1472,34,1502,24
468,22604,1549,21,1415,52
469,18915,74,186,152,162
470,20363,1198,6,520,61
471,16474,266,123,136,160
472,22196,1427,50,1391,57
473,20822,1555,14,1550,15
474,21896,1480,36,1599,14
475,23650,1076,140,1061,145
476,20553,1565,13,1455,38
477,18128,600,52,426,76
478,19559,287,117,174,150
479,23543,1755,5,1642,14
480,21385,1074,139,1144,122
481,18979,409,84,1059,14
482,23774,1092,138,1461,43
483,21417,868,202,1148,121
484,15887,121,166,642,36
485,19185,451,78,182,150
486,18117,623,50,1176,9
487,17410,286,112,760,33
488,17093,286,112,239,127
489,21322,1142,123,1365,62
490,16676,247,120,798,27
491,16942,469,64,64,182
492,22399,1362,65,924,181
493,21341,1365,62,1365,62
494,19895,389,91,101,174
495,17639,86,178,160,143
496,22697,1514,24,1374,62
497,15650,275,119,369,95
498,16766,613,47,200,130
499,17880,635,46,5,202
500,20550,1400,54,880,202
501,22516,1499,31,1072,144
502,21700,1331,71,1391,57
503,16195,748,31,796,26
504,18783,4,203,56,191
505,20336,947,20,968,19
506,20873,1224,100,1176,114
507,16975,818,26,711,32
508,16438,573,58,703,38
509,17011,311,102,407,75
510,18474,191,151,198,148
511,19118,252,130,901,20
512,14353,155,147,354,91
513,21621,1272,88,1381,61
514,17550,536,66,777,34
515,21099,1190,110,1071,147
516,14748,523,61,541,59
517,15816,364,98,220,135
518,23529,1236,93,1424,54
519,21311,1557,18,1453,39
520,21023,1037,153,1105,134
521,22543,1036,156,1010,162
522,23012,1348,72,1233,97
523,21242,1219,101,964,174
524,20901,1309,79,1178,113
