,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
8045,16148,641,43,671,40
8046,18619,802,31,1328,3
8047,23054,1118,129,1266,88
8048,18769,947,15,842,27
8049,20319,1345,3,1306,4
8050,14747,386,91,361,98
8051,22573,1452,42,1418,51
8052,17118,373,86,255,123
8053,16347,236,134,595,53
8054,15143,995,10,1456,1
8055,19982,626,57,1094,13
8056,20548,892,199,1304,79
8057,21297,1198,108,1092,134
8058,16977,1735,1,1604,2
8059,23623,1472,39,1740,6
8060,21327,1219,101,1557,18
8061,20655,1344,68,947,178
8062,18869,1022,15,915,19
8063,15261,326,106,1232,4
8064,17996,67,184,302,113
8065,16272,593,56,475,74
8066,20968,1558,16,1481,31
8067,17003,491,59,645,38
8068,23521,1766,4,1411,58
8069,16841,483,67,1063,12
8070,21861,831,209,1157,121
8071,19911,141,157,669,49
8072,15066,362,94,517,63
8073,21732,1206,105,1212,102
8074,19820,769,34,147,156
8075,23716,1466,40,1761,5
8076,14816,544,61,301,111
8077,15327,590,50,453,73
8078,15790,354,102,263,124
8079,19394,317,107,524,68
8080,18357,515,67,551,63
8081,16694,1506,1,1134,8
8082,19164,206,146,93,179
8083,15649,384,92,606,45
8084,15779,489,69,432,83
8085,21479,909,189,953,178
8086,18545,540,67,551,65
8087,21999,1283,87,1356,66
8088,16606,427,82,179,142
8089,22943,1223,101,909,188
8090,14977,148,156,86,179
8091,19634,1002,16,442,76
8092,19115,539,64,609,49
8093,15702,192,145,110,164
8094,18203,297,113,355,96
8095,19277,274,122,621,55
8096,17225,308,104,115,161
8097,23008,1251,91,1310,79
8098,19613,530,68,1002,16
8099,16541,502,69,550,60
8100,16789,33,188,23,194
8101,22300,1755,2,1521,24
8102,16067,230,134,206,143
8103,22891,1171,108,1337,73
8104,15171,307,108,331,102
8105,21928,1336,73,1040,153
8106,21964,1059,147,1219,100
8107,15845,575,54,623,41
8108,22116,1381,59,1267,92
8109,21845,1129,127,1441,45
8110,23732,1674,8,1635,14
8111,14824,115,166,502,66
8112,17032,488,60,295,106
8113,20623,1499,24,1487,28
8114,23347,1190,103,1397,60
8115,21570,1144,122,1006,161
8116,21392,1205,106,1319,76
8117,21042,1036,154,952,176
8118,23106,1092,135,1455,41
8119,22834,1147,122,1278,85
8120,18347,552,62,515,67
8121,22277,1019,159,1495,30
